Cat_id,Week,Day,hour,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Temperature,Humidity,Wind_Speed,C_Rain
Cho,Week1,Day3,1,263,2746,60,217,234,0,73,7,17.7,56,2.2,0
Cho,Week1,Day3,2,391,2100,102,289,495,3,200,20,17.6,55,2.2,0.2
Cho,Week1,Day3,3,4,2062,1219,62,163,0,70,20,17.3,57,2.2,0
Cho,Week1,Day3,4,0,2114,1189,57,198,0,41,1,17,55,1.8,0
Cho,Week1,Day3,5,0,3498,11,39,35,0,17,0,17.2,54,1.8,0.2
Cho,Week1,Day3,6,0,3556,6,10,6,0,22,0,17.6,56,1.8,0.1
Cho,Week1,Day3,7,31,2710,342,191,259,3,61,3,17.3,57,1.8,0
Cho,Week1,Day3,8,408,638,470,625,668,0,750,41,17.7,55,1.8,0
Cho,Week1,Day3,9,144,1001,1058,540,635,0,197,25,21.8,51,1.8,0
Cho,Week1,Day3,10,74,1185,1528,348,364,0,101,0,22.7,47,1.8,0
Cho,Week1,Day3,11,140,977,1186,507,509,0,279,2,24.2,44,1.3,0
Cho,Week1,Day3,12,76,1737,855,271,309,8,329,15,26.4,42,1.3,0
Cho,Week1,Day3,13,101,1148,1656,229,176,10,270,10,25.2,46,2.2,0
Cho,Week1,Day3,14,1,1899,1620,37,39,0,4,0,23.6,48,1.8,0
Cho,Week1,Day3,15,183,2108,900,163,163,5,75,3,22.9,52,1.8,0
Cho,Week1,Day3,16,62,2099,631,194,440,0,163,11,22.4,52,2.2,0
Cho,Week1,Day3,17,48,2134,650,382,287,1,92,6,21.7,55,1.3,0
Cho,Week1,Day3,18,52,2464,318,189,310,0,262,5,20.4,55,1.8,0.1
Cho,Week1,Day3,19,0,3345,144,38,35,1,37,0,19.7,57,2.2,0.2
Cho,Week1,Day3,20,44,2474,173,131,226,3,549,0,18.7,56,2.2,0
Cho,Week1,Day3,21,48,777,2125,230,151,10,250,9,18.5,54,2.2,0.2
Cho,Week1,Day3,22,0,3495,1,85,14,0,5,0,18.1,54,2.2,0.4
Cho,Week1,Day3,23,0,3438,15,81,51,0,14,1,17.4,57,1.8,0
Cho,Week1,Day4,0,1,3548,7,24,18,0,1,1,18.7,56,0.9,0
Cho,Week1,Day4,1,0,3487,13,67,27,0,6,0,18.2,56,0.4,0
Cho,Week1,Day4,2,2,3294,30,77,183,0,13,1,18.4,55,0.4,0
Cho,Week1,Day4,3,0,3454,113,8,25,0,0,0,18.4,56,0,0
Cho,Week1,Day4,4,2,3518,41,16,21,0,1,1,18.3,57,0,0
Cho,Week1,Day4,5,8,3331,38,80,124,0,18,1,18.1,58,0,0
Cho,Week1,Day4,6,5,734,2632,135,57,5,30,2,18.5,53,0,0
Cho,Week1,Day4,7,715,745,888,399,470,9,328,46,21,50,0,0
Cho,Week1,Day4,8,235,778,1276,485,580,1,233,12,23.3,49,0,0
Cho,Week1,Day4,9,279,741,875,430,646,1,604,24,18.6,54,2.2,0
Cho,Week1,Day4,10,104,1191,1063,349,585,1,303,4,19.4,52,2.2,0.1
Cho,Week1,Day4,11,240,1554,645,501,370,0,289,1,19.7,54,2.2,0
Cho,Week1,Day4,12,172,937,1469,347,303,0,372,0,19.7,52,1.8,0
Cho,Week1,Day4,13,0,2572,802,107,103,1,15,0,21,52,1.8,0
Cho,Week1,Day4,14,46,1983,781,321,273,0,196,0,21.2,50,1.8,0
Cho,Week1,Day4,15,326,814,1034,572,368,6,439,41,21.8,52,2.2,0
Cho,Week1,Day4,16,54,2401,288,199,429,0,222,7,21.1,51,2.2,0
Cho,Week1,Day4,17,38,1685,1252,230,174,0,221,0,21.3,52,2.2,0
Cho,Week1,Day4,18,1,3276,207,66,17,0,33,0,20.4,54,2.2,0
Cho,Week1,Day4,19,0,3519,52,10,18,0,1,0,19.9,54,2.2,0
Cho,Week1,Day4,20,67,2557,329,253,246,0,143,5,19.4,55,2.7,0
Cho,Week1,Day4,21,65,1449,1436,240,287,1,120,2,19.1,55,2.2,0
Cho,Week1,Day4,22,1,3506,39,34,11,0,8,1,18.9,55,2.2,0
Cho,Week1,Day4,23,1,3497,6,56,27,0,13,0,18.9,56,1.8,0
Cho,Week1,Day5,0,0,2386,1156,23,31,0,4,0,18.8,62,0.4,0
Cho,Week1,Day5,1,0,1120,2345,75,59,0,1,0,18.5,63,0.4,0
Cho,Week1,Day5,2,0,3197,129,66,199,0,6,3,18.3,65,0.4,0
Cho,Week1,Day5,3,1209,826,455,399,496,3,196,16,18.4,65,0,0
Cho,Week1,Day5,4,1,1417,2093,53,22,1,7,6,18.4,64,0,0
Cho,Week1,Day5,5,2,2514,472,135,454,0,23,0,18.2,63,0.4,0
Cho,Week1,Day5,6,2,3512,7,28,46,0,3,2,18,64,0,0
Cho,Week1,Day5,7,1,3287,237,45,25,3,1,1,18.5,60,0,0
Cho,Week1,Day5,8,54,2742,419,219,117,5,41,3,19.6,54,0,0
Cho,Week1,Day5,9,32,1023,1585,358,386,3,195,18,23.9,52,0.4,0.2
Cho,Week1,Day5,10,105,984,1665,253,278,6,302,7,23.9,55,0.4,0
Cho,Week1,Day5,11,158,880,1480,383,472,0,226,1,23.5,49,0.4,0
Cho,Week1,Day5,12,307,345,1297,615,642,1,389,4,25.1,51,0.9,0
Cho,Week1,Day5,13,135,568,1654,431,427,0,384,1,26.7,47,0.9,0
Cho,Week1,Day5,14,145,1094,1987,131,166,0,77,0,27.4,48,0.9,0
Cho,Week1,Day5,15,1,517,2958,63,57,0,0,4,27.1,50,0.9,0
Cho,Week1,Day5,16,3,598,2892,33,71,0,3,0,27.3,49,2.2,0
Cho,Week1,Day5,17,36,218,2441,197,342,0,364,2,24.9,54,2.7,0
Cho,Week1,Day5,18,38,1051,1427,343,507,3,214,17,22.3,57,2.2,0
Cho,Week1,Day5,19,45,2066,858,218,205,1,207,0,21,55,1.3,0
Cho,Week1,Day5,20,16,2038,1167,171,147,0,61,0,20.3,56,0.9,0
Cho,Week1,Day5,21,27,1805,1113,159,140,1,348,7,19.9,56,0,0.2
Cho,Week1,Day5,22,0,904,2641,17,38,0,0,0,19.7,59,0,0
Cho,Week1,Day5,23,1,500,3035,36,26,0,1,1,19.2,62,0.4,0
Cho,Week1,Day6,0,3,3034,115,92,283,0,72,1,16.8,68,0,0.3
Cho,Week1,Day6,1,6,353,2882,133,199,6,21,0,16.8,68,0,0
Cho,Week1,Day6,2,0,3578,1,4,17,0,0,0,16.7,68,0,0.5
Cho,Week1,Day6,3,3,3200,52,80,251,0,12,2,16.7,68,0,2
Cho,Week1,Day6,4,8,2685,429,133,325,1,10,9,16.6,68,0.9,1.1
Cho,Week1,Day6,5,2,3085,373,83,42,6,8,1,15.8,68,1.8,0.3
Cho,Week1,Day6,6,1,1773,1618,80,95,6,26,1,15.5,68,0.4,0.2
Cho,Week1,Day6,7,156,1324,1042,263,604,0,208,3,15.9,68,0,0.1
Cho,Week1,Day6,8,152,1259,833,648,451,2,231,24,16.4,67,0,0.3
Cho,Week1,Day6,9,38,2106,482,394,397,6,171,6,20.6,53,0,0.1
Cho,Week1,Day6,10,20,2589,208,258,301,1,222,1,20.6,54,0,0.3
Cho,Week1,Day6,11,145,1409,1294,288,211,1,252,0,20.6,55,0,0.5
Cho,Week1,Day6,12,29,1606,1520,232,128,4,81,0,20.4,55,0.4,1.4
Cho,Week1,Day6,13,6,3104,377,56,43,0,14,0,19.9,56,0.4,2.8
Cho,Week1,Day6,14,3,2719,488,72,169,0,144,5,19.6,57,0,2.4
Cho,Week1,Day6,15,10,2755,439,108,271,0,17,0,19,61,0,1
Cho,Week1,Day6,16,0,3513,41,15,26,0,4,1,18.6,61,0,1.5
Cho,Week1,Day6,17,3,3302,201,25,60,0,9,0,18.3,64,0,0.6
Cho,Week1,Day6,18,14,2149,508,165,634,3,127,0,18.1,64,0,1.8
Cho,Week1,Day6,19,7,813,2226,149,328,1,74,2,17.7,64,0,2
Cho,Week1,Day6,20,14,1176,1811,171,340,0,88,0,17.3,66,0,0.8
Cho,Week1,Day6,21,31,1462,1274,235,293,6,278,21,17.1,67,0,1
Cho,Week1,Day6,22,55,1780,468,425,401,0,470,1,17.1,68,0,1.9
Cho,Week1,Day6,23,1,1870,1653,52,21,0,3,0,17.1,67,0,0.5
Cho,Week1,Day7,0,0,2422,1153,14,2,1,8,0,16.2,59,2.7,0.5
Cho,Week1,Day7,1,75,1870,875,318,272,2,183,5,15.7,61,1.3,0.3
Cho,Week1,Day7,2,19,2825,236,194,138,2,186,0,15.3,61,2.2,0.2
Cho,Week1,Day7,3,2,518,2804,99,135,1,41,0,15.3,61,0.9,0
Cho,Week1,Day7,4,3,3038,208,157,132,0,62,0,15.1,61,1.3,0.1
Cho,Week1,Day7,5,1,1116,2263,143,68,7,2,0,15.3,61,1.3,0
Cho,Week1,Day7,6,1,3289,151,79,64,1,13,2,15.3,59,2.7,0
Cho,Week1,Day7,7,84,2721,181,222,249,2,121,20,16.2,55,2.7,0
Cho,Week1,Day7,8,346,840,1270,597,322,12,161,51,16.8,56,1.8,0
Cho,Week1,Day7,9,134,2189,597,356,251,4,66,2,16.9,67,0,0.7
Cho,Week1,Day7,10,17,1144,1311,364,619,2,143,0,18.1,65,0,1.6
Cho,Week1,Day7,11,136,726,1336,273,587,0,539,3,19.1,63,0,0.9
Cho,Week1,Day7,12,34,2354,121,150,453,0,477,11,19.3,62,0,0.2
Cho,Week1,Day7,13,16,1961,1336,120,131,0,36,0,19.6,62,0,0
Cho,Week1,Day7,14,0,1126,2429,32,13,0,0,0,21.1,56,0,0
Cho,Week1,Day7,15,6,2114,1154,78,122,0,124,2,21.6,54,0.9,0
Cho,Week1,Day7,16,16,798,1826,323,488,1,140,8,22,52,0.4,0
Cho,Week1,Day7,17,22,1957,833,288,276,9,215,0,21.6,55,1.3,0
Cho,Week1,Day7,18,53,2214,163,400,430,4,330,6,18.7,57,2.7,0
Cho,Week1,Day7,19,15,2736,403,201,196,0,48,1,17.8,58,2.7,0
Cho,Week1,Day7,20,102,1999,287,474,335,1,398,4,17,58,2.2,0
Cho,Week1,Day7,21,147,1871,543,427,320,0,288,4,16.6,56,3.1,0
Cho,Week1,Day7,22,7,2042,1083,146,285,2,34,1,16.6,55,3.1,0
Cho,Week1,Day7,23,5,2155,949,127,318,0,45,1,16.5,57,3.1,0
George,Week1,Day1,0,69,2595,85,218,426,0,202,5,14.5,58,0,0
George,Week1,Day1,1,1,3367,23,172,23,0,14,0,13.9,59,0,0
George,Week1,Day1,2,2,3262,11,147,108,0,70,0,13.5,59,0,0
George,Week1,Day1,3,0,3149,15,106,267,0,63,0,13.1,60,0,0
George,Week1,Day1,4,22,2529,18,278,449,0,303,1,12.7,64,0,0
George,Week1,Day1,5,78,2936,21,214,252,0,95,4,12.8,65,0,0
George,Week1,Day1,6,1,2359,999,150,75,0,15,1,13.4,58,0,0
George,Week1,Day1,7,6,2948,35,367,158,1,85,0,17.2,52,0.4,0
George,Week1,Day1,8,458,1053,42,757,714,1,543,32,19.9,53,1.8,0
George,Week1,Day1,9,108,315,1869,814,335,0,133,26,19.6,51,1.3,0
George,Week1,Day1,10,218,219,1297,833,745,0,207,81,20.9,47,1.3,0
George,Week1,Day1,11,417,1043,504,324,916,1,384,11,21.9,46,1.8,0
George,Week1,Day1,12,105,2116,104,361,742,0,165,7,22.4,44,1.8,0
George,Week1,Day1,13,168,1635,374,630,569,2,194,28,23.2,45,1.8,0
George,Week1,Day1,14,77,1830,533,503,541,0,102,14,23.4,43,1.8,0
George,Week1,Day1,15,82,2050,170,469,552,0,274,3,24.4,41,1.8,0
George,Week1,Day1,16,134,2209,281,383,365,0,227,1,24.6,36,1.8,0
George,Week1,Day1,17,90,2091,312,513,185,0,408,1,24.8,37,1.3,0
George,Week1,Day1,18,2,3044,217,224,75,0,38,0,24.6,39,0.9,0
George,Week1,Day1,19,97,2612,108,299,200,0,279,5,23.5,47,1.3,0
George,Week1,Day1,20,10,2956,102,179,162,0,191,0,19.5,54,1.8,0
George,Week1,Day1,21,3,3280,49,113,51,0,104,0,17.4,56,0.4,0
George,Week1,Day1,22,2,2275,1066,185,34,0,38,0,16.4,56,0,0
George,Week1,Day1,23,3,3274,20,137,54,0,112,0,15.6,56,0,0
George,Week1,Day2,0,2,3368,56,80,58,0,36,0,18.1,58,0,0
George,Week1,Day2,1,1,3256,66,215,31,0,31,0,18.1,58,0,0
George,Week1,Day2,2,54,1750,11,953,441,0,390,1,17.9,61,0,0
George,Week1,Day2,3,5,3198,2,333,23,0,39,0,17.7,61,0,0
George,Week1,Day2,4,19,2749,9,495,128,0,199,1,17.1,61,0,0
George,Week1,Day2,5,17,1951,887,537,83,0,124,1,16.3,62,0,0
George,Week1,Day2,6,0,1865,1666,43,24,0,2,0,16.7,55,0,0
George,Week1,Day2,7,75,1466,340,1161,250,0,308,0,19.6,53,0.9,0
George,Week1,Day2,8,291,458,422,1403,445,11,543,27,21,52,1.3,0
George,Week1,Day2,9,140,2113,79,354,545,0,347,22,20.7,52,2.7,0
George,Week1,Day2,10,182,2220,195,287,378,0,338,0,21.8,50,2.7,0
George,Week1,Day2,11,192,1142,345,630,586,1,700,4,23.6,48,2.7,0
George,Week1,Day2,12,2,3117,395,16,49,0,21,0,25.2,45,2.7,0
George,Week1,Day2,13,3,1304,1702,363,121,0,107,0,26.1,45,2.7,0
George,Week1,Day2,14,33,2574,3,566,223,0,198,3,26.2,47,2.7,0
George,Week1,Day2,15,119,292,75,1856,709,0,546,3,26,46,2.2,0
George,Week1,Day2,16,65,1090,41,1667,424,0,311,2,26.3,46,1.8,0
George,Week1,Day2,17,61,1363,43,1592,186,0,354,1,26.7,46,0.9,0.4
George,Week1,Day2,18,78,501,47,1939,504,0,524,7,25,55,0.4,0
George,Week1,Day2,19,15,2605,339,480,91,0,70,0,21.8,56,0.4,0
George,Week1,Day2,20,2,3176,211,137,17,0,57,0,21.2,56,0,0
George,Week1,Day2,21,62,708,26,1710,483,0,609,2,20.3,59,0,0.3
George,Week1,Day2,22,73,1617,326,1120,193,0,271,0,19.7,58,0,0.3
George,Week1,Day2,23,0,2377,1132,51,31,0,9,0,18.8,57,0,0.1
George,Week1,Day3,0,36,2142,766,154,412,1,85,4,17.4,56,1.8,0
George,Week1,Day3,1,218,1518,737,308,475,1,335,8,17.7,56,2.2,0
George,Week1,Day3,2,0,3330,100,135,34,0,0,1,17.6,55,2.2,0.2
George,Week1,Day3,3,1,3221,122,184,48,0,23,1,17.3,57,2.2,0
George,Week1,Day3,4,22,2987,108,176,197,0,109,1,17,55,1.8,0
George,Week1,Day3,5,2,3234,156,47,85,0,76,0,17.2,54,1.8,0.2
George,Week1,Day3,6,2,2828,681,34,34,0,20,1,17.6,56,1.8,0.1
George,Week1,Day3,7,7,177,3286,43,61,5,21,0,17.3,57,1.8,0
George,Week1,Day3,8,497,885,713,448,587,0,410,60,17.7,55,1.8,0
George,Week1,Day3,9,58,404,2312,482,281,8,37,18,21.8,51,1.8,0
George,Week1,Day3,10,183,613,1805,410,363,3,200,23,22.7,47,1.8,0
George,Week1,Day3,11,251,1108,1318,299,453,1,154,16,24.2,44,1.3,0
George,Week1,Day3,12,212,1032,1188,295,400,5,465,3,26.4,42,1.3,0
George,Week1,Day3,13,23,2286,789,149,260,0,88,5,25.2,46,2.2,0
George,Week1,Day3,14,337,1243,742,276,572,1,415,14,23.6,48,1.8,0
George,Week1,Day3,15,231,1538,1521,96,97,6,108,3,22.9,52,1.8,0
George,Week1,Day3,16,5,1581,1697,108,146,0,62,1,22.4,52,2.2,0
George,Week1,Day3,17,95,1081,1578,218,374,0,253,1,21.7,55,1.3,0
George,Week1,Day3,18,0,1746,1718,82,49,0,3,2,20.4,55,1.8,0.1
George,Week1,Day3,19,23,1306,2034,45,84,0,106,2,19.7,57,2.2,0.2
George,Week1,Day3,20,212,1945,437,288,360,0,353,5,18.7,56,2.2,0
George,Week1,Day3,21,16,3183,172,83,52,0,93,1,18.5,54,2.2,0.2
George,Week1,Day3,22,5,3132,64,92,211,0,91,5,18.1,54,2.2,0.4
George,Week1,Day3,23,2,3046,33,52,453,0,5,9,17.4,57,1.8,0
George,Week1,Day4,0,1,3458,92,19,26,0,4,0,18.7,56,0.9,0
George,Week1,Day4,1,127,2296,440,289,383,0,64,1,18.2,56,0.4,0
George,Week1,Day4,2,92,1755,758,345,543,0,101,6,18.4,55,0.4,0
George,Week1,Day4,3,183,1030,972,630,681,0,88,16,18.4,56,0,0
George,Week1,Day4,4,0,2949,509,45,93,0,0,4,18.3,57,0,0
George,Week1,Day4,5,5,3208,115,58,186,0,28,0,18.1,58,0,0
George,Week1,Day4,6,1,1721,1787,39,45,0,7,0,18.5,53,0,0
George,Week1,Day4,7,49,1749,1155,306,297,0,42,2,21,50,0,0
George,Week1,Day4,8,366,556,1431,482,556,1,144,64,23.3,49,0,0
George,Week1,Day4,9,131,485,1875,556,264,6,281,2,18.6,54,2.2,0
George,Week1,Day4,10,116,545,1503,645,624,0,54,113,19.4,52,2.2,0.1
George,Week1,Day4,11,315,581,1724,357,236,1,378,8,19.7,54,2.2,0
George,Week1,Day4,12,572,943,724,385,377,4,590,5,19.7,52,1.8,0
George,Week1,Day4,13,143,1349,1717,153,103,2,126,7,21,52,1.8,0
George,Week1,Day4,14,18,2474,490,253,249,0,116,0,21.2,50,1.8,0
George,Week1,Day4,15,18,1356,1853,59,298,0,14,2,21.8,52,2.2,0
George,Week1,Day4,16,216,718,1001,585,523,0,550,7,21.1,51,2.2,0
George,Week1,Day4,17,9,3282,42,86,69,1,111,0,21.3,52,2.2,0
George,Week1,Day4,18,128,2107,741,271,197,0,153,3,20.4,54,2.2,0
George,Week1,Day4,19,10,2811,651,38,33,0,57,0,19.9,54,2.2,0
George,Week1,Day4,20,34,1961,874,122,344,5,258,2,19.4,55,2.7,0
George,Week1,Day4,21,6,2128,1224,67,104,3,68,0,19.1,55,2.2,0
George,Week1,Day4,22,26,549,2303,109,380,0,232,1,18.9,55,2.2,0
George,Week1,Day4,23,58,1938,1081,300,172,0,32,19,18.9,56,1.8,0
George,Week1,Day5,0,0,3313,148,39,79,0,20,1,18.8,62,0.4,0
George,Week1,Day5,1,124,2127,302,169,318,0,560,0,18.5,63,0.4,0
George,Week1,Day5,2,2,3423,57,44,57,0,14,3,18.3,65,0.4,0
George,Week1,Day5,3,86,323,2291,296,280,0,322,2,18.4,65,0,0
George,Week1,Day5,4,7,2009,1402,59,30,0,89,4,18.4,64,0,0
George,Week1,Day5,5,2,3054,160,111,263,1,7,2,18.2,63,0.4,0
George,Week1,Day5,6,0,3167,157,41,231,1,1,2,18,64,0,0
George,Week1,Day5,7,1,3446,76,39,36,2,0,0,18.5,60,0,0
George,Week1,Day5,8,84,1243,1512,232,292,0,236,1,19.6,54,0,0
George,Week1,Day5,9,24,494,2380,363,251,0,85,3,23.9,52,0.4,0.2
George,Week1,Day5,10,204,329,1980,530,358,8,145,46,23.9,55,0.4,0
George,Week1,Day5,11,242,978,1362,467,235,0,314,2,23.5,49,0.4,0
George,Week1,Day5,12,402,574,975,514,456,8,648,23,25.1,51,0.9,0
George,Week1,Day5,13,27,2009,1216,164,99,0,83,2,26.7,47,0.9,0
George,Week1,Day5,14,147,610,2286,201,156,19,172,9,27.4,48,0.9,0
George,Week1,Day5,15,10,2548,942,48,43,0,8,1,27.1,50,0.9,0
George,Week1,Day5,16,111,1926,848,299,203,0,208,5,27.3,49,2.2,0
George,Week1,Day5,17,26,3119,82,87,128,3,155,0,24.9,54,2.7,0
George,Week1,Day5,18,3,2914,547,56,65,0,14,1,22.3,57,2.2,0
George,Week1,Day5,19,134,939,1506,386,276,1,352,6,21,55,1.3,0
George,Week1,Day5,20,76,1827,1098,178,110,0,307,4,20.3,56,0.9,0
George,Week1,Day5,21,0,2388,1195,12,5,0,0,0,19.9,56,0,0.2
George,Week1,Day5,22,0,1932,1580,27,54,0,4,3,19.7,59,0,0
George,Week1,Day5,23,2,1858,1527,62,133,0,17,1,19.2,62,0.4,0
George,Week1,Day6,0,3,2746,632,90,105,0,20,4,16.8,68,0,0.3
George,Week1,Day6,1,85,1709,968,168,281,0,386,3,16.8,68,0,0
George,Week1,Day6,2,1,3502,21,10,48,0,18,0,16.7,68,0,0.5
George,Week1,Day6,3,16,2250,818,68,190,0,254,4,16.7,68,0,2
George,Week1,Day6,4,1,3423,133,17,16,0,10,0,16.6,68,0.9,1.1
George,Week1,Day6,5,1,1744,1733,49,64,0,8,1,15.8,68,1.8,0.3
George,Week1,Day6,6,4,3241,95,52,153,0,55,0,15.5,68,0.4,0.2
George,Week1,Day6,7,27,2521,740,47,202,0,63,0,15.9,68,0,0.1
George,Week1,Day6,8,182,992,1600,301,266,0,247,12,16.4,67,0,0.3
George,Week1,Day6,9,3,3165,297,28,58,0,49,0,20.6,53,0,0.1
George,Week1,Day6,10,4,3023,357,30,125,0,61,0,20.6,54,0,0.3
George,Week1,Day6,11,879,608,865,351,372,0,522,3,20.6,55,0,0.5
George,Week1,Day6,12,40,1570,1397,203,112,0,278,0,20.4,55,0.4,1.4
George,Week1,Day6,13,4,3269,101,61,151,1,13,0,19.9,56,0.4,2.8
George,Week1,Day6,14,17,2158,901,116,155,0,251,2,19.6,57,0,2.4
George,Week1,Day6,15,4,3332,59,36,148,0,21,0,19,61,0,1
George,Week1,Day6,16,29,2646,493,109,116,0,203,4,18.6,61,0,1.5
George,Week1,Day6,17,3,3245,261,36,31,0,21,3,18.3,64,0,0.6
George,Week1,Day6,18,110,1293,946,282,351,0,614,4,18.1,64,0,1.8
George,Week1,Day6,19,30,2615,597,93,135,0,127,3,17.7,64,0,2
George,Week1,Day6,20,3,3000,257,68,204,0,66,2,17.3,66,0,0.8
George,Week1,Day6,21,112,1331,1125,254,324,3,451,0,17.1,67,0,1
George,Week1,Day6,22,1,2482,1000,21,39,0,57,0,17.1,68,0,1.9
George,Week1,Day6,23,0,1441,1949,35,163,0,12,0,17.1,67,0,0.5
George,Week1,Day7,0,153,2064,291,463,407,0,213,9,16.2,59,2.7,0.5
George,Week1,Day7,1,3,3364,28,28,171,0,5,1,15.7,61,1.3,0.3
George,Week1,Day7,2,2,3466,88,12,28,0,4,0,15.3,61,2.2,0.2
George,Week1,Day7,3,2,2365,1109,23,90,0,11,0,15.3,61,0.9,0
George,Week1,Day7,4,3,1304,2197,28,59,0,8,1,15.1,61,1.3,0.1
George,Week1,Day7,5,83,1028,1312,522,551,0,95,9,15.3,61,1.3,0
George,Week1,Day7,6,0,0,3550,14,35,0,1,0,15.3,59,2.7,0
George,Week1,Day7,7,0,95,3350,41,104,0,7,3,16.2,55,2.7,0
George,Week1,Day7,8,264,125,2493,300,370,1,41,5,16.8,56,1.8,0
George,Week1,Day7,9,371,1724,750,239,292,0,219,4,16.9,67,0,0.7
George,Week1,Day7,10,47,667,2351,187,205,0,134,9,18.1,65,0,1.6
George,Week1,Day7,11,430,828,1062,373,402,0,490,15,19.1,63,0,0.9
George,Week1,Day7,12,2,2535,857,84,103,0,19,0,19.3,62,0,0.2
George,Week1,Day7,13,78,1680,1139,226,217,0,253,7,19.6,62,0,0
George,Week1,Day7,14,46,2975,168,80,164,0,167,0,21.1,56,0,0
George,Week1,Day7,15,127,1438,1253,238,276,0,265,3,21.6,54,0.9,0
George,Week1,Day7,16,2,3210,84,37,235,0,32,0,22,52,0.4,0
George,Week1,Day7,17,36,1689,1317,233,160,0,164,1,21.6,55,1.3,0
