Cat_id,Timestamp,Week,Day,hour,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Total,propActive,propLying,propSitting,propStanding,propGrooming,propLittering,propEating,propScratching,Barometer,Temperature,C_Tmean,Heat_Index,THW_Index,Humidity,C_RHmean,Wind_Speed,C_Wind_Speed,C_Rain
Cho,2022-12-12T10:00:00Z,Week1,Day1,10,201,1979,235,400,500,5,258,22,3600,0.0558333333333333,0.549722222222222,0.0652777777777778,0.111111111111111,0.138888888888889,0.00138888888888889,0.0716666666666667,0.00611111111111111,1009.7,20.9,20,19.9,19.9,47,70,1.3,4.1,0
Cho,2022-12-12T11:00:00Z,Week1,Day1,11,125,1562,518,522,379,3,459,32,3600,0.0347222222222222,0.433888888888889,0.143888888888889,0.145,0.105277777777778,0.000833333333333333,0.1275,0.00888888888888889,1009.5,21.9,21,21,21,46,69,1.8,4.1,0
Cho,2022-12-12T12:00:00Z,Week1,Day1,12,61,2304,403,305,250,0,270,7,3600,0.0169444444444444,0.64,0.111944444444444,0.0847222222222222,0.0694444444444445,0,0.075,0.00194444444444444,1009.4,22.4,21.5,21.7,21.7,44,67,1.8,3.9,0
Cho,2022-12-12T13:00:00Z,Week1,Day1,13,187,828,1215,519,517,3,282,49,3600,0.0519444444444445,0.23,0.3375,0.144166666666667,0.143611111111111,0.000833333333333333,0.0783333333333333,0.0136111111111111,1009.5,23.2,21.5,22.7,22.7,45,66,1.8,3.7,0
Cho,2022-12-12T14:00:00Z,Week1,Day1,14,389,1358,732,326,309,0,471,15,3600,0.108055555555556,0.377222222222222,0.203333333333333,0.0905555555555556,0.0858333333333333,0,0.130833333333333,0.00416666666666667,1009.4,23.4,22.2,23,23,43,62,1.8,3.7,0
Cho,2022-12-12T15:00:00Z,Week1,Day1,15,2,3416,62,70,20,0,30,0,3600,0.000555555555555556,0.948888888888889,0.0172222222222222,0.0194444444444444,0.00555555555555556,0,0.00833333333333333,0,1008.8,24.4,22.7,23.8,23.8,41,58,1.8,3.5,0
Cho,2022-12-12T16:00:00Z,Week1,Day1,16,82,1453,1114,332,460,0,151,8,3600,0.0227777777777778,0.403611111111111,0.309444444444444,0.0922222222222222,0.127777777777778,0,0.0419444444444444,0.00222222222222222,1008.9,24.6,22.8,23.9,23.9,36,56,1.8,3,0
Cho,2022-12-12T17:00:00Z,Week1,Day1,17,26,3047,305,98,96,0,28,0,3600,0.00722222222222222,0.846388888888889,0.0847222222222222,0.0272222222222222,0.0266666666666667,0,0.00777777777777778,0,1008.9,24.8,22.9,24.1,24.1,37,55,1.3,2.3,0
Cho,2022-12-12T18:00:00Z,Week1,Day1,18,18,2750,566,102,124,0,30,10,3600,0.005,0.763888888888889,0.157222222222222,0.0283333333333333,0.0344444444444444,0,0.00833333333333333,0.00277777777777778,1009.4,24.6,21.7,23.9,23.9,39,60,0.9,2.4,0
Cho,2022-12-12T19:00:00Z,Week1,Day1,19,45,1482,1389,173,429,1,60,21,3600,0.0125,0.411666666666667,0.385833333333333,0.0480555555555556,0.119166666666667,0.000277777777777778,0.0166666666666667,0.00583333333333333,1009.9,23.5,18.7,23.2,23.2,47,74,1.3,2.9,0
Cho,2022-12-12T20:00:00Z,Week1,Day1,20,232,1390,599,431,500,7,422,19,3600,0.0644444444444445,0.386111111111111,0.166388888888889,0.119722222222222,0.138888888888889,0.00194444444444444,0.117222222222222,0.00527777777777778,1010.5,19.5,16.6,18.9,18.9,54,84,1.8,1.2,0
Cho,2022-12-12T21:00:00Z,Week1,Day1,21,1,2294,1068,106,88,0,43,0,3600,0.000277777777777778,0.637222222222222,0.296666666666667,0.0294444444444444,0.0244444444444444,0,0.0119444444444444,0,1010.9,17.4,15.1,16.6,16.6,56,89,0.4,0.2,0
Cho,2022-12-12T22:00:00Z,Week1,Day1,22,5,3408,75,45,53,0,12,2,3600,0.00138888888888889,0.946666666666667,0.0208333333333333,0.0125,0.0147222222222222,0,0.00333333333333333,0.000555555555555556,1011.1,16.4,14.4,15.5,15.5,56,93,0,0.2,0
Cho,2022-12-12T23:00:00Z,Week1,Day1,23,0,3518,20,36,7,0,19,0,3600,0,0.977222222222222,0.00555555555555556,0.01,0.00194444444444444,0,0.00527777777777778,0,1011.2,15.6,13.7,14.7,14.7,56,94,0,0.4,0
Cho,2022-12-14T00:00:00Z,Week1,Day2,0,1,1030,2544,5,19,0,0,1,3600,0.000277777777777778,0.286111111111111,0.706666666666667,0.00138888888888889,0.00527777777777778,0,0,0.000277777777777778,1010.1,18.1,18.1,17.5,17.5,58,95,0,0.2,0
Cho,2022-12-14T01:00:00Z,Week1,Day2,1,0,159,3373,42,25,0,0,1,3600,0,0.0441666666666667,0.936944444444445,0.0116666666666667,0.00694444444444444,0,0,0.000277777777777778,1009.9,18.1,18,17.4,17.4,58,95,0,0.1,0
Cho,2022-12-14T02:00:00Z,Week1,Day2,2,0,3454,96,16,28,0,5,1,3600,0,0.959444444444444,0.0266666666666667,0.00444444444444444,0.00777777777777778,0,0.00138888888888889,0.000277777777777778,1009.3,17.9,17.7,17.3,17.3,61,94,0,0.5,0
Cho,2022-12-14T03:00:00Z,Week1,Day2,3,2,3249,246,50,53,0,0,0,3600,0.000555555555555556,0.9025,0.0683333333333333,0.0138888888888889,0.0147222222222222,0,0,0,1009,17.7,17.1,17.1,17.1,61,93,0,0.8,0
Cho,2022-12-14T04:00:00Z,Week1,Day2,4,4,2933,86,148,376,0,53,0,3600,0.00111111111111111,0.814722222222222,0.0238888888888889,0.0411111111111111,0.104444444444444,0,0.0147222222222222,0,1009.1,17.1,16.2,16.5,16.5,61,95,0,0.8,0
Cho,2022-12-14T05:00:00Z,Week1,Day2,5,2,1724,1575,83,183,0,33,0,3600,0.000555555555555556,0.478888888888889,0.4375,0.0230555555555556,0.0508333333333333,0,0.00916666666666667,0,1009,16.3,16.4,15.6,15.6,62,95,0,0.9,0
Cho,2022-12-14T06:00:00Z,Week1,Day2,6,11,2783,517,88,178,0,21,2,3600,0.00305555555555556,0.773055555555556,0.143611111111111,0.0244444444444444,0.0494444444444445,0,0.00583333333333333,0.000555555555555556,1009.1,16.7,18.8,15.8,15.8,55,86,0,1.7,0
Cho,2022-12-14T07:00:00Z,Week1,Day2,7,135,576,1456,601,362,38,372,60,3600,0.0375,0.16,0.404444444444444,0.166944444444444,0.100555555555556,0.0105555555555556,0.103333333333333,0.0166666666666667,1009.2,19.6,20.2,18.9,18.9,53,79,0.9,3.3,0
Cho,2022-12-14T08:00:00Z,Week1,Day2,8,151,1102,1162,476,372,0,333,4,3600,0.0419444444444444,0.306111111111111,0.322777777777778,0.132222222222222,0.103333333333333,0,0.0925,0.00111111111111111,1008.8,21,21.2,20.2,20.2,52,72,1.3,3.8,0
Cho,2022-12-13T09:00:00Z,Week1,Day2,9,139,1088,1073,459,638,1,194,8,3600,0.0386111111111111,0.302222222222222,0.298055555555556,0.1275,0.177222222222222,0.000277777777777778,0.0538888888888889,0.00222222222222222,1010.2,20.7,21.5,19.9,19.9,52,71,2.7,5.5,0
Cho,2022-12-13T10:00:00Z,Week1,Day2,10,104,1463,989,324,427,15,260,18,3600,0.0288888888888889,0.406388888888889,0.274722222222222,0.09,0.118611111111111,0.00416666666666667,0.0722222222222222,0.005,1009.8,21.8,23.4,21.2,21.2,50,67,2.7,5.1,0
Cho,2022-12-13T11:00:00Z,Week1,Day2,11,105,1059,586,461,696,0,693,0,3600,0.0291666666666667,0.294166666666667,0.162777777777778,0.128055555555556,0.193333333333333,0,0.1925,0,1009,23.6,25,23.4,23.4,48,61,2.7,4.8,0
Cho,2022-12-13T12:00:00Z,Week1,Day2,12,10,3033,32,146,326,0,49,4,3600,0.00277777777777778,0.8425,0.00888888888888889,0.0405555555555556,0.0905555555555556,0,0.0136111111111111,0.00111111111111111,1008.5,25.2,25.8,24.9,24.9,45,60,2.7,4.6,0
Cho,2022-12-13T13:00:00Z,Week1,Day2,13,2,3481,41,41,27,0,8,0,3600,0.000555555555555556,0.966944444444444,0.0113888888888889,0.0113888888888889,0.0075,0,0.00222222222222222,0,1008.3,26.1,25.3,25.8,25.8,45,61,2.7,5.6,0
Cho,2022-12-13T14:00:00Z,Week1,Day2,14,61,2757,179,198,220,0,180,5,3600,0.0169444444444444,0.765833333333333,0.0497222222222222,0.055,0.0611111111111111,0,0.05,0.00138888888888889,1007.8,26.2,25.3,26,26,47,60,2.7,4.9,0
Cho,2022-12-13T15:00:00Z,Week1,Day2,15,38,2609,398,189,55,3,306,2,3600,0.0105555555555556,0.724722222222222,0.110555555555556,0.0525,0.0152777777777778,0.000833333333333333,0.085,0.000555555555555556,1007.3,26,25.4,25.7,25.7,46,62,2.2,5,0
Cho,2022-12-13T16:00:00Z,Week1,Day2,16,29,2036,1112,130,111,0,181,1,3600,0.00805555555555556,0.565555555555556,0.308888888888889,0.0361111111111111,0.0308333333333333,0,0.0502777777777778,0.000277777777777778,1006.9,26.3,25.4,26.1,26.1,46,62,1.8,3.9,0
Cho,2022-12-13T17:00:00Z,Week1,Day2,17,5,2010,1042,218,285,2,36,2,3600,0.00138888888888889,0.558333333333333,0.289444444444444,0.0605555555555556,0.0791666666666667,0.000555555555555556,0.01,0.000555555555555556,1006.9,26.7,22.8,26.5,26.5,46,74,0.9,2.9,0.4
Cho,2022-12-13T18:00:00Z,Week1,Day2,18,1,2956,484,59,96,0,2,2,3600,0.000277777777777778,0.821111111111111,0.134444444444444,0.0163888888888889,0.0266666666666667,0,0.000555555555555556,0.000555555555555556,1008,25,20.4,25.1,25.1,55,86,0.4,1.5,0
Cho,2022-12-13T19:00:00Z,Week1,Day2,19,404,952,496,549,639,0,525,35,3600,0.112222222222222,0.264444444444444,0.137777777777778,0.1525,0.1775,0,0.145833333333333,0.00972222222222222,1008.5,21.8,20.5,21.4,21.4,56,81,0.4,0.4,0
Cho,2022-12-13T20:00:00Z,Week1,Day2,20,47,1147,1620,225,215,0,346,0,3600,0.0130555555555556,0.318611111111111,0.45,0.0625,0.0597222222222222,0,0.0961111111111111,0,1008.9,21.2,19.6,20.7,20.7,56,88,0,0.1,0
Cho,2022-12-13T21:00:00Z,Week1,Day2,21,37,1254,1514,407,269,0,118,1,3600,0.0102777777777778,0.348333333333333,0.420555555555556,0.113055555555556,0.0747222222222222,0,0.0327777777777778,0.000277777777777778,1010,20.3,19.1,20,20,59,91,0,0.6,0.3
Cho,2022-12-13T22:00:00Z,Week1,Day2,22,0,1489,2057,17,33,0,3,1,3600,0,0.413611111111111,0.571388888888889,0.00472222222222222,0.00916666666666667,0,0.000833333333333333,0.000277777777777778,1010,19.7,18.7,19.3,19.3,58,92,0,0.4,0.3
Cho,2022-12-13T23:00:00Z,Week1,Day2,23,1,795,2471,157,164,0,6,6,3600,0.000277777777777778,0.220833333333333,0.686388888888889,0.0436111111111111,0.0455555555555556,0,0.00166666666666667,0.00166666666666667,1010,18.8,18.4,18.2,18.2,57,94,0,0.2,0.1
Cho,2022-12-15T00:00:00Z,Week1,Day3,0,4,3274,17,107,131,0,67,0,3600,0.00111111111111111,0.909444444444444,0.00472222222222222,0.0297222222222222,0.0363888888888889,0,0.0186111111111111,0,1006.1,17.4,18.2,16.6,16.6,56,85,1.8,5.3,0
Cho,2022-12-15T01:00:00Z,Week1,Day3,1,263,2746,60,217,234,0,73,7,3600,0.0730555555555556,0.762777777777778,0.0166666666666667,0.0602777777777778,0.065,0,0.0202777777777778,0.00194444444444444,1005.5,17.7,17.9,17,17,56,86,2.2,4.2,0
Cho,2022-12-15T02:00:00Z,Week1,Day3,2,391,2100,102,289,495,3,200,20,3600,0.108611111111111,0.583333333333333,0.0283333333333333,0.0802777777777778,0.1375,0.000833333333333333,0.0555555555555556,0.00555555555555556,1004.6,17.6,17.6,16.8,16.8,55,87,2.2,4.5,0.2
Cho,2022-12-15T03:00:00Z,Week1,Day3,3,4,2062,1219,62,163,0,70,20,3600,0.00111111111111111,0.572777777777778,0.338611111111111,0.0172222222222222,0.0452777777777778,0,0.0194444444444444,0.00555555555555556,1004,17.3,17.5,16.5,16.5,57,84,2.2,4.4,0
Cho,2022-12-15T04:00:00Z,Week1,Day3,4,0,2114,1189,57,198,0,41,1,3600,0,0.587222222222222,0.330277777777778,0.0158333333333333,0.055,0,0.0113888888888889,0.000277777777777778,1003.7,17,17.7,16.1,16.1,55,82,1.8,4.8,0
Cho,2022-12-15T05:00:00Z,Week1,Day3,5,0,3498,11,39,35,0,17,0,3600,0,0.971666666666667,0.00305555555555556,0.0108333333333333,0.00972222222222222,0,0.00472222222222222,0,1003.8,17.2,17.9,16.3,16.3,54,85,1.8,4.4,0.2
Cho,2022-12-15T06:00:00Z,Week1,Day3,6,0,3556,6,10,6,0,22,0,3600,0,0.987777777777778,0.00166666666666667,0.00277777777777778,0.00166666666666667,0,0.00611111111111111,0,1003.8,17.6,17.8,16.8,16.8,56,87,1.8,4.4,0.1
Cho,2022-12-15T07:00:00Z,Week1,Day3,7,31,2710,342,191,259,3,61,3,3600,0.00861111111111111,0.752777777777778,0.095,0.0530555555555556,0.0719444444444445,0.000833333333333333,0.0169444444444444,0.000833333333333333,1003.9,17.3,18.3,16.6,16.6,57,86,1.8,4.9,0
Cho,2022-12-15T08:00:00Z,Week1,Day3,8,408,638,470,625,668,0,750,41,3600,0.113333333333333,0.177222222222222,0.130555555555556,0.173611111111111,0.185555555555556,0,0.208333333333333,0.0113888888888889,1004.2,17.7,19,16.9,16.9,55,83,1.8,5.3,0
Cho,2022-12-14T09:00:00Z,Week1,Day3,9,144,1001,1058,540,635,0,197,25,3600,0.04,0.278055555555556,0.293888888888889,0.15,0.176388888888889,0,0.0547222222222222,0.00694444444444444,1008.9,21.8,22.1,21.2,21.2,51,68,1.8,3.8,0
Cho,2022-12-14T10:00:00Z,Week1,Day3,10,74,1185,1528,348,364,0,101,0,3600,0.0205555555555556,0.329166666666667,0.424444444444444,0.0966666666666667,0.101111111111111,0,0.0280555555555556,0,1008.3,22.7,23.3,22.2,22.2,47,62,1.8,3.7,0
Cho,2022-12-14T11:00:00Z,Week1,Day3,11,140,977,1186,507,509,0,279,2,3600,0.0388888888888889,0.271388888888889,0.329444444444444,0.140833333333333,0.141388888888889,0,0.0775,0.000555555555555556,1007.8,24.2,24.7,23.8,23.8,44,57,1.3,4.2,0
Cho,2022-12-14T12:00:00Z,Week1,Day3,12,76,1737,855,271,309,8,329,15,3600,0.0211111111111111,0.4825,0.2375,0.0752777777777778,0.0858333333333333,0.00222222222222222,0.0913888888888889,0.00416666666666667,1007.7,26.4,24.1,25.8,25.8,42,60,1.3,5.3,0
Cho,2022-12-14T13:00:00Z,Week1,Day3,13,101,1148,1656,229,176,10,270,10,3600,0.0280555555555556,0.318888888888889,0.46,0.0636111111111111,0.0488888888888889,0.00277777777777778,0.075,0.00277777777777778,1007.1,25.2,23.1,24.9,24.9,46,64,2.2,4.5,0
Cho,2022-12-14T14:00:00Z,Week1,Day3,14,1,1899,1620,37,39,0,4,0,3600,0.000277777777777778,0.5275,0.45,0.0102777777777778,0.0108333333333333,0,0.00111111111111111,0,1006.7,23.6,22.5,23.4,23.4,48,67,1.8,4.4,0
Cho,2022-12-14T15:00:00Z,Week1,Day3,15,183,2108,900,163,163,5,75,3,3600,0.0508333333333333,0.585555555555556,0.25,0.0452777777777778,0.0452777777777778,0.00138888888888889,0.0208333333333333,0.000833333333333333,1006.4,22.9,22.2,22.8,22.8,52,71,1.8,4.3,0
Cho,2022-12-14T16:00:00Z,Week1,Day3,16,62,2099,631,194,440,0,163,11,3600,0.0172222222222222,0.583055555555556,0.175277777777778,0.0538888888888889,0.122222222222222,0,0.0452777777777778,0.00305555555555556,1006.1,22.4,21.2,22,22,52,74,2.2,4.3,0
Cho,2022-12-14T17:00:00Z,Week1,Day3,17,48,2134,650,382,287,1,92,6,3600,0.0133333333333333,0.592777777777778,0.180555555555556,0.106111111111111,0.0797222222222222,0.000277777777777778,0.0255555555555556,0.00166666666666667,1005.6,21.7,20.2,21.2,21.2,55,78,1.3,4.8,0
Cho,2022-12-14T18:00:00Z,Week1,Day3,18,52,2464,318,189,310,0,262,5,3600,0.0144444444444444,0.684444444444444,0.0883333333333333,0.0525,0.0861111111111111,0,0.0727777777777778,0.00138888888888889,1006.1,20.4,19.7,19.9,19.9,55,80,1.8,5.1,0.1
Cho,2022-12-14T19:00:00Z,Week1,Day3,19,0,3345,144,38,35,1,37,0,3600,0,0.929166666666667,0.04,0.0105555555555556,0.00972222222222222,0.000277777777777778,0.0102777777777778,0,1006.5,19.7,18.8,19.3,19.3,57,85,2.2,4.6,0.2
Cho,2022-12-14T20:00:00Z,Week1,Day3,20,44,2474,173,131,226,3,549,0,3600,0.0122222222222222,0.687222222222222,0.0480555555555556,0.0363888888888889,0.0627777777777778,0.000833333333333333,0.1525,0,1006.4,18.7,18.7,18,18,56,85,2.2,5.3,0
Cho,2022-12-14T21:00:00Z,Week1,Day3,21,48,777,2125,230,151,10,250,9,3600,0.0133333333333333,0.215833333333333,0.590277777777778,0.0638888888888889,0.0419444444444444,0.00277777777777778,0.0694444444444445,0.0025,1006.8,18.5,18.4,17.7,17.7,54,80,2.2,5.2,0.2
Cho,2022-12-14T22:00:00Z,Week1,Day3,22,0,3495,1,85,14,0,5,0,3600,0,0.970833333333333,0.000277777777777778,0.0236111111111111,0.00388888888888889,0,0.00138888888888889,0,1007.1,18.1,17.6,17.3,17.3,54,87,2.2,3.6,0.4
Cho,2022-12-14T23:00:00Z,Week1,Day3,23,0,3438,15,81,51,0,14,1,3600,0,0.955,0.00416666666666667,0.0225,0.0141666666666667,0,0.00388888888888889,0.000277777777777778,1006.7,17.4,17.8,16.6,16.6,57,86,1.8,3.8,0
Cho,2022-12-16T00:00:00Z,Week1,Day4,0,1,3548,7,24,18,0,1,1,3600,0.000277777777777778,0.985555555555555,0.00194444444444444,0.00666666666666667,0.005,0,0.000277777777777778,0.000277777777777778,1002.4,18.7,18.4,18.1,18.1,56,88,0.9,0.8,0
Cho,2022-12-16T01:00:00Z,Week1,Day4,1,0,3487,13,67,27,0,6,0,3600,0,0.968611111111111,0.00361111111111111,0.0186111111111111,0.0075,0,0.00166666666666667,0,1002.3,18.2,18.5,17.5,17.5,56,88,0.4,1.2,0
Cho,2022-12-16T02:00:00Z,Week1,Day4,2,2,3294,30,77,183,0,13,1,3600,0.000555555555555556,0.915,0.00833333333333333,0.0213888888888889,0.0508333333333333,0,0.00361111111111111,0.000277777777777778,1001.6,18.4,18.5,17.7,17.7,55,88,0.4,0.6,0
Cho,2022-12-16T03:00:00Z,Week1,Day4,3,0,3454,113,8,25,0,0,0,3600,0,0.959444444444444,0.0313888888888889,0.00222222222222222,0.00694444444444444,0,0,0,1001.4,18.4,18.3,17.8,17.8,56,90,0,0.9,0
Cho,2022-12-16T04:00:00Z,Week1,Day4,4,2,3518,41,16,21,0,1,1,3600,0.000555555555555556,0.977222222222222,0.0113888888888889,0.00444444444444444,0.00583333333333333,0,0.000277777777777778,0.000277777777777778,1001.7,18.3,18.1,17.7,17.7,57,92,0,0.7,0
Cho,2022-12-16T05:00:00Z,Week1,Day4,5,8,3331,38,80,124,0,18,1,3600,0.00222222222222222,0.925277777777778,0.0105555555555556,0.0222222222222222,0.0344444444444444,0,0.005,0.000277777777777778,1001.7,18.1,18.6,17.4,17.4,58,90,0,0.7,0
Cho,2022-12-16T06:00:00Z,Week1,Day4,6,5,734,2632,135,57,5,30,2,3600,0.00138888888888889,0.203888888888889,0.731111111111111,0.0375,0.0158333333333333,0.00138888888888889,0.00833333333333333,0.000555555555555556,1001.8,18.5,19.9,17.7,17.7,53,84,0,0.3,0
Cho,2022-12-16T07:00:00Z,Week1,Day4,7,715,745,888,399,470,9,328,46,3600,0.198611111111111,0.206944444444444,0.246666666666667,0.110833333333333,0.130555555555556,0.0025,0.0911111111111111,0.0127777777777778,1002.4,21,22,20.1,20.1,50,77,0,0.2,0
Cho,2022-12-16T08:00:00Z,Week1,Day4,8,235,778,1276,485,580,1,233,12,3600,0.0652777777777778,0.216111111111111,0.354444444444444,0.134722222222222,0.161111111111111,0.000277777777777778,0.0647222222222222,0.00333333333333333,1002.8,23.3,22.5,23.2,23.2,49,79,0,1.6,0
Cho,2022-12-15T09:00:00Z,Week1,Day4,9,279,741,875,430,646,1,604,24,3600,0.0775,0.205833333333333,0.243055555555556,0.119444444444444,0.179444444444444,0.000277777777777778,0.167777777777778,0.00666666666666667,1003.9,18.6,19.8,17.9,17.9,54,82,2.2,5.1,0
Cho,2022-12-15T10:00:00Z,Week1,Day4,10,104,1191,1063,349,585,1,303,4,3600,0.0288888888888889,0.330833333333333,0.295277777777778,0.0969444444444444,0.1625,0.000277777777777778,0.0841666666666667,0.00111111111111111,1003.7,19.4,20,18.7,18.7,52,83,2.2,5,0.1
Cho,2022-12-15T11:00:00Z,Week1,Day4,11,240,1554,645,501,370,0,289,1,3600,0.0666666666666667,0.431666666666667,0.179166666666667,0.139166666666667,0.102777777777778,0,0.0802777777777778,0.000277777777777778,1003.6,19.7,20.1,19.1,19.1,54,84,2.2,4.4,0
Cho,2022-12-15T12:00:00Z,Week1,Day4,12,172,937,1469,347,303,0,372,0,3600,0.0477777777777778,0.260277777777778,0.408055555555556,0.0963888888888889,0.0841666666666667,0,0.103333333333333,0,1003,19.7,21,19,19,52,81,1.8,5,0
Cho,2022-12-15T13:00:00Z,Week1,Day4,13,0,2572,802,107,103,1,15,0,3600,0,0.714444444444444,0.222777777777778,0.0297222222222222,0.0286111111111111,0.000277777777777778,0.00416666666666667,0,1003,21,21.2,20.2,20.2,52,81,1.8,4.4,0
Cho,2022-12-15T14:00:00Z,Week1,Day4,14,46,1983,781,321,273,0,196,0,3600,0.0127777777777778,0.550833333333333,0.216944444444444,0.0891666666666667,0.0758333333333333,0,0.0544444444444444,0,1002.4,21.2,21.9,20.3,20.3,50,77,1.8,3.9,0
Cho,2022-12-15T15:00:00Z,Week1,Day4,15,326,814,1034,572,368,6,439,41,3600,0.0905555555555556,0.226111111111111,0.287222222222222,0.158888888888889,0.102222222222222,0.00166666666666667,0.121944444444444,0.0113888888888889,1002,21.8,21.4,21.3,21.3,52,78,2.2,3.4,0
Cho,2022-12-15T16:00:00Z,Week1,Day4,16,54,2401,288,199,429,0,222,7,3600,0.015,0.666944444444444,0.08,0.0552777777777778,0.119166666666667,0,0.0616666666666667,0.00194444444444444,1001.8,21.1,21.6,20.2,20.2,51,76,2.2,3.8,0
Cho,2022-12-15T17:00:00Z,Week1,Day4,17,38,1685,1252,230,174,0,221,0,3600,0.0105555555555556,0.468055555555556,0.347777777777778,0.0638888888888889,0.0483333333333333,0,0.0613888888888889,0,1001.5,21.3,20.8,20.6,20.6,52,81,2.2,2.8,0
Cho,2022-12-15T18:00:00Z,Week1,Day4,18,1,3276,207,66,17,0,33,0,3600,0.000277777777777778,0.91,0.0575,0.0183333333333333,0.00472222222222222,0,0.00916666666666667,0,1001.4,20.4,20.4,19.8,19.8,54,81,2.2,2.7,0
Cho,2022-12-15T19:00:00Z,Week1,Day4,19,0,3519,52,10,18,0,1,0,3600,0,0.9775,0.0144444444444444,0.00277777777777778,0.005,0,0.000277777777777778,0,1001.2,19.9,19.9,19.4,19.4,54,82,2.2,2.8,0
Cho,2022-12-15T20:00:00Z,Week1,Day4,20,67,2557,329,253,246,0,143,5,3600,0.0186111111111111,0.710277777777778,0.0913888888888889,0.0702777777777778,0.0683333333333333,0,0.0397222222222222,0.00138888888888889,1001.7,19.4,19.3,18.9,18.9,55,84,2.7,2.9,0
Cho,2022-12-15T21:00:00Z,Week1,Day4,21,65,1449,1436,240,287,1,120,2,3600,0.0180555555555556,0.4025,0.398888888888889,0.0666666666666667,0.0797222222222222,0.000277777777777778,0.0333333333333333,0.000555555555555556,1002.2,19.1,19,18.4,18.4,55,84,2.2,3,0
Cho,2022-12-15T22:00:00Z,Week1,Day4,22,1,3506,39,34,11,0,8,1,3600,0.000277777777777778,0.973888888888889,0.0108333333333333,0.00944444444444444,0.00305555555555556,0,0.00222222222222222,0.000277777777777778,1002.5,18.9,19,18.3,18.3,55,84,2.2,2.8,0
Cho,2022-12-15T23:00:00Z,Week1,Day4,23,1,3497,6,56,27,0,13,0,3600,0.000277777777777778,0.971388888888889,0.00166666666666667,0.0155555555555556,0.0075,0,0.00361111111111111,0,1002.7,18.9,18.8,18.3,18.3,56,86,1.8,1.8,0
Cho,2022-12-17T00:00:00Z,Week1,Day5,0,0,2386,1156,23,31,0,4,0,3600,0,0.662777777777778,0.321111111111111,0.00638888888888889,0.00861111111111111,0,0.00111111111111111,0,1004.6,18.8,18.6,18.4,18.4,62,94,0.4,1.3,0
